pincode,city,state,global_cargo_region,is_oda,deliverable,safexpress_is_oda,bluedart_region
712617,Khanakul,West Bengal,E2,0,1,,EAST
624402,Ponnamaravathi,Tamil Nadu,S2,1,1,,SOUTH
802352,Arrah,Bihar,E2,0,1,,EAST
500001,Hyderabad,Telangana,S1,0,1,0,SOUTH
756032,Dantan,West Bengal,E2,1,1,,EAST
411230,Pune,Maharashtra,W1,1,1,0,WEST
516505,Badvel,Andhra Pradesh,S2,0,1,,SOUTH
415021,Koregaon,Maharashtra,W2,0,1,0,WEST
627412,Ambasamudram,Tamil Nadu,S2,1,1,,SOUTH
783337,Bilasipara,Assam,NE2,0,1,,
411014,Pune,Maharashtra,W1,0,1,0,WEST
630408,Thiruvadanai,Tamil Nadu,S2,1,1,0,SOUTH
506348,Parkal,Telangana,S2,1,1,,SOUTH
524003,Nellore,Andhra Pradesh,S2,0,1,,SOUTH
847304,Bharwara,Bihar,E2,1,1,,EAST
671318,Poinachi,Kerala,S3,0,1,,SOUTH
415115,Karad,Maharashtra,W2,1,1,,WEST
306106,Sojat,Rajasthan,N2,0,1,,NORTH
673004,Kozhikode,Kerala,S3,0,1,0,SOUTH
753071,Cuttack,Orissa,E2,1,1,,EAST
743503,Kolkata,West Bengal,E1,1,1,,EAST
124105,Bilaspur-HR,Haryana,N2,0,1,0,NORTH
387530,Ahmedabad,Gujarat,,0,1,,WEST
829119,Patratu,Jharkhand,E2,1,1,,EAST
586120,Sindagi,Karnataka,S2,0,1,,SOUTH
793112,Cherrapunji,Meghalaya,NE2,0,1,,NE
403719,Goa,Goa,W2,0,1,0,WEST
791104,Pasighat,Arunachal Pradesh,NE2,0,1,,NE
416230,Kale,Maharashtra,W2,1,1,,WEST
491338,Bemetara,Chhattisgarh,C2,1,1,,WEST
477557,Bhind,Madhya Pradesh,C2,0,1,,WEST
522414,Piduguralla,Andhra Pradesh,S2,0,1,,SOUTH
604505,Vandavasi,Tamil Nadu,S2,1,1,,SOUTH
501201,Vikarabad,Telangana,S2,0,1,,SOUTH
431009,Aurangabad,Maharashtra,W2,0,1,0,WEST
781320,Tihu,Assam,NE2,1,1,0,
796186,Thenzawl,Mizoram,NE2,1,1,,NE
363030,Surendranagar,Gujarat,,1,1,,WEST
721137,Kolaghat,West Bengal,E2,1,1,,EAST
841402,Marhowarah,Bihar,E2,1,1,,EAST
110014,Delhi,Delhi,N1,0,1,0,NORTH
786151,Doom Dooma,Assam,NE2,1,1,,
509001,Mahabubnagar,Telangana,S2,1,1,,SOUTH
562103,Chikkaballapura,Karnataka,S2,1,1,,SOUTH
753010,Cuttack,Orissa,E2,0,1,0,EAST
741159,Krishnanagar,West Bengal,E2,1,1,,EAST
431646,Mukhed,Maharashtra,W2,1,1,,WEST
764075,Nabarangapur,Orissa,E2,1,1,,EAST
205267,Mainpuri,Uttar Pradesh,N2,1,1,,NORTH
383030,Himmatnagar,Gujarat,,1,1,,WEST
679591,Edappal,Kerala,S3,1,1,,SOUTH
517416,Palamaner,Andhra Pradesh,S2,0,1,,SOUTH
363031,Surendranagar,Gujarat,,1,1,,WEST
494222,Bastar,Chhattisgarh,C2,0,1,,WEST
284122,Lalitpur,Uttar Pradesh,N2,1,1,,NORTH
587330,Jamkhandi,Karnataka,S2,0,1,,SOUTH
411031,Pune,Maharashtra,W1,0,1,0,WEST
389122,Godhra,Gujarat,,1,1,,WEST
532522,Parvathipuram,Andhra Pradesh,S2,1,1,0,SOUTH
690548,Tiruvalla,Kerala,S3,1,1,,SOUTH
764003,Jeypore,Orissa,E2,1,1,,EAST
756035,Dantan,West Bengal,E2,1,1,,EAST
175014,Joginder Nagar,Himachal Pradesh,N3,0,1,,NORTH
518501,Nandyal,Andhra Pradesh,S2,1,1,,SOUTH
421403,Murbad,Maharashtra,W2,0,1,0,WEST
400602,Thane,Maharashtra,W2,0,1,0,WEST
803124,Bihar Sharif,Bihar,E2,,0,0,EAST
713336,Asansol,West Bengal,E2,0,1,,EAST
